,Degree Centrality,Betweenness Centrality,Eigen Centrality,Closeness Centrality,Page Rank
Qianhai Fund of Funds,0.002881844380403458,0.0,0.017465029421346742,0.1964036245623709,0.0008252673990211728
K2VC,0.005763688760806916,0.004183456633024356,0.001106699076164305,0.15085023873407058,0.001949771251510547
T. Rowe Associates,0.002881844380403458,0.0,0.0185006498711503,0.1966137943050808,0.0008316404611856279
JERA,0.002881844380403458,0.0,0.012282570250963895,0.19852575988989518,0.0008284738559625655
GF Xinde Investment Management Co.,0.002881844380403458,0.0,1.7774676510112385e-16,0.002881844380403458,0.0014749262536873158
Gaopeng Capital,0.002881844380403458,0.0,0.0016761585089604524,0.1552476474677634,0.0009677310755012182
Trustbridge Partners,0.002881844380403458,0.0,0.02466174205414511,0.20268680725658905,0.0007362307819654488
Oriza Holdings,0.001440922190201729,0.0,1.5838087838964918e-20,0.001440922190201729,0.0014749262536873158
Beijing Shuju Xinrong Fund,0.001440922190201729,0.0,1.5838087838964918e-20,0.001440922190201729,0.0014749262536873158
Beijing Juneng Hesheng Industry Investment Fund,0.001440922190201729,0.0,1.5838087838964918e-20,0.001440922190201729,0.0014749262536873158
Kleiner Perkins Caufield & Byers,0.03602305475504323,0.030503752723446506,0.17100189756831963,0.2591475187279238,0.007146729793708933
East Ventures,0.002881844380403458,0.0,0.0010908606997005524,0.14177128918063117,0.0009107206096654085
Softbank Corp.,0.005763688760806916,0.00027672314653324,0.037067030207320446,0.20690944907443468,0.0012489074488265168
5Y Capital,0.002881844380403458,0.0,0.004962336467764991,0.16627655274036016,0.0007950566018252777
Volcanics Ventures,0.002881844380403458,0.0,0.003506312070622879,0.16856476218174127,0.0008694882617309462
China Creation Ventures,0.002881844380403458,0.0,1.7774676510112385e-16,0.002881844380403458,0.0014749262536873158
Alven Capital,0.005763688760806916,0.0019493827632786499,0.012460889477464158,0.18475172526706685,0.0013672322445982556
China Environmental Protection Industry,0.001440922190201729,0.0,1.5838087838964918e-20,0.001440922190201729,0.0014749262536873158
Franklin Square,0.001440922190201729,0.0,1.5838087838964918e-20,0.001440922190201729,0.0014749262536873158
SoftBank Group. Monashees+,0.001440922190201729,0.0,0.005234813523466838,0.17752230993052945,0.0004984906995927098
Grab_,0.002881844380403458,0.0,1.7774676510112385e-16,0.002881844380403458,0.0014749262536873158
Sherpalo Ventures,0.002881844380403458,0.0,0.017320427321058852,0.19289825803474855,0.0007292306315769403
Genesis Partners,0.007204610951008645,0.00271647537815246,0.017949245645076904,0.1964036245623709,0.0016481142716692793
Founder Collective,0.005763688760806916,5.153290203086902e-05,0.031431921467468274,0.19777781569224756,0.0011998782132060886
Unbound,0.002881844380403458,0.0,0.014842355364554626,0.19381391432288816,0.0007882175267380405
Collaborative Fund,0.002881844380403458,0.0,0.030121936505085767,0.20690944907443468,0.0006966042405083837
Net1 UEPS Technologies,0.001440922190201729,0.0,1.5838087838964918e-20,0.001440922190201729,0.0014749262536873158
