,source,target
1641,Tiger Global Management,Greycroft
1642,Tiger Global Management,Accel
1643,Tiger Global Management,SOSV
1644,Tiger Global Management,Kalaari Capital
1645,Tiger Global Management,DCM Ventures
1646,Tiger Global Management,Temasek
1647,Tiger Global Management,Revo Capital
1648,Tiger Global Management,Ardian
1649,Tiger Global Management,New Enterprise Associates
1650,Tiger Global Management,Gradient Ventures
1651,Tiger Global Management,ZhenFund
1652,Tiger Global Management,Khosla Ventures
1653,Tiger Global Management,TDM Growth Partners
1654,Tiger Global Management,Sequoia Capital India
1655,Tiger Global Management,Nexus Venture Partners
1656,Tiger Global Management,Blue Lake Capital
1657,Tiger Global Management,Sequoia Capital
1658,Tiger Global Management,FirstMark Capital
1659,Tiger Global Management,KKR
1660,Tiger Global Management,DST Global
1661,Tiger Global Management,Matrix Partners India
1662,Tiger Global Management,Scale Venture Partners
1663,Tiger Global Management,Sequoia Capital China
1664,Tiger Global Management,Thrive Capital
1665,Tiger Global Management,Tiger Brokers
1666,Tiger Global Management,GreatPoint Ventures
1667,Tiger Global Management,Global Founders Capital
1668,Tiger Global Management,8VC
1669,Tiger Global Management,SoftBank Group
1670,Tiger Global Management,Institutional Venture Partners
1671,Capital Today,Morningside Ventures
1672,Capital Today,Qiming Venture Partners
1673,Capital Today,H Capital
1674,Capital Today,JOY Capital
1675,Capital Today,General Atlantic
1676,Capital Today,Eastern Bell Capital
1677,Oriza Equity Investment,China Grand Prosperity Investment
1678,Oriza Equity Investment,Silk Road Huacheng
1679,VY Capital,Union Square Ventures
1680,VY Capital,Ribbit Capital
1681,VY Capital,Elevation Capital
1682,VY Capital,Accel
1683,Wellington Management,Eurazeo
1684,Amadeus Capital Partners,Quona Capital
1685,Amadeus Capital Partners,Dell Technologies Capital
1686,HarbourVest Partners,The Rise Fund
1687,DT Capital Partners,IDG Capital
1688,DT Capital Partners,Boxin Capital
1689,Accel Partners,Sequoia Capital
1690,Accel Partners,SoftBank Group
1691,Accel Partners,General Atlantic
1692,Intact Ventures,Munich Re Ventures
1693,Intact Ventures,General Atlantic
1694,DFJ DragonFund,Storm Ventures
1695,DFJ DragonFund,New Enterprise Associates
1696,Dynamic Parcel Distribution,B Capital Group
1697,Founder Collective,Caffeinated Capital
1698,Founder Collective,CRV
1699,Canaan Partners,Qualcomm Ventures
1700,Canaan Partners,Sound Ventures
1701,Canaan Partners,Eurazeo
1702,Canaan Partners,Accel
1703,Not Boring Capital,SC.Holdings
1704,Koch Disruptive Technologies,Teamworthy Ventures
1705,Epiq Capital,Sequoia Capital India
1706,Maverick Ventures,Thrive Capital
1707,Iris Capital,Elaia Partners
1708,Iris Capital,Accel
1709,Iris Capital,Breega Capital
1710,Bloomberg Beta,First Round Capital
1711,Bloomberg Beta,Threshold Ventures
1712,Unilever Ventures,MMC Ventures
1713,Yabeo Capital,Vulcan Capital
1714,Lupa Systems,Advance Venture Partners
1715,Franklin Templeton,L Catterton
1716,Franklin Templeton,Motive Partners. Apollo Global Management
1717,Franklin Templeton,DST Global
1718,Liberty Global Ventures,Sutter Hill Ventures
1719,Qihoo 360 Technology,China Fortune Land Development
1720,Echo Health Venturesl,Questa Capital
1721,Schonfeld Strategic Advisors,BMO Capital
1722,Obvious Ventures,Qualcomm Ventures
1723,Obvious Ventures,Caffeinated Capital
1724,Obvious Ventures,Venrock
1725,Obvious Ventures,Andreessen Horowitz
1726,Lakestar,Google Ventures
1727,Lakestar,VGames
1728,Lakestar,New Enterprise Associates
1729,Lakestar,Battery Ventures
1730,Revolution Ventures,Andreessen Horowitz
1731,Centurium Capital,Unicom Innovation Venture Capital
1732,Centurium Capital,Cedarlake Capital
1733,B Capital Group,GE Ventures
1734,Partech Partners,Quadrille Capital
1735,Partech Partners,Stripe_
1736,Partech Partners,General Atlantic
1737,Cocnord Health Partners,Thrive Capital
1738,Quiet Capital,Benchmark
1739,Vertex Ventures SE Asia,Visa Ventures
1740,Vertex Ventures SE Asia,Bertelsmann India Investments
1741,Vertex Ventures SE Asia,Global Founders Capital
1742,Gauss Ventures,dmg ventures
1743,Gauss Ventures,Ventura Capital
1744,DCM Ventures,IDG Capital
1745,DCM Ventures,Sequoia Capital China
1746,DCM Ventures,Ivy Capital
1747,DCM Ventures,Northern Light Venture Capital
1748,DCM Ventures,Tiger Brokers
1749,DCM Ventures,Source Code Capital
1750,DCM Ventures,Sequoia Capital
1751,Sound Ventures,Andreessen Horowitz
1752,Sound Ventures,Thrive Capital
1753,Sound Ventures,Thirty Five Ventures
1754,Sound Ventures,Sequoia Capital
1755,Sound Ventures,TPG Growth
1756,Lux Capital,Andreessen Horowitz
1757,Lux Capital,Blockchain Capital
1758,Lux Capital,General Atlantic
1759,Holtzbrinck Ventures,BlackRock
1760,Holtzbrinck Ventures,Tengelmann Ventures
1761,Holtzbrinck Ventures,General Atlantic
1762,Trifecta Capital,Bessemer Venture Partners
1763,Trifecta Capital,SoftBank Group
1764,Trifecta Capital,Chiratae Ventures
1765,Francisco Partners,IDG Capital
1766,Francisco Partners,ZhenFund
1767,Wincove,Vista Equity Partners
1768,Wincove,TDR Capital
1769,Activant Capital,Tribe Capital
1770,Activant Capital,GLP Capital Partners
1771,Activant Capital,8VC
1772,Activant Capital,General Atlantic
1773,Target Global,UBS Asset Management
1774,Target Global,Durable Capital Partners
1775,Kibo Ventures,Bessemer Venture Partners
1776,Kibo Ventures,SoftBank Group
1777,Kibo Ventures,Atomico
1778,Alpha JWC Ventures,Sequoia Capital India
1779,Alpha JWC Ventures,Softbank Ventures Asia
1780,Alpha JWC Ventures,SingTel Innov8
1781,Venture51,IDG Capital
1782,Nextech Invest,Google Ventures
1783,TDM Growth Partners,Prysm Capital
1784,Andreessen Horowitz,Caffeinated Capital
1785,Andreessen Horowitz,Tao Capital Partners
1786,Andreessen Horowitz,Upfront Ventures
1787,Andreessen Horowitz,Triangle Peak Partners
1788,Andreessen Horowitz,Paradigm
1789,Andreessen Horowitz,Bain Capital Tech Opportunities
1790,Andreessen Horowitz,Blockchain Capital
1791,Andreessen Horowitz,TPG Growth
1792,Andreessen Horowitz,Accel
1793,Andreessen Horowitz,Qualcomm Ventures
1794,Andreessen Horowitz,Felicis Ventures
1795,Andreessen Horowitz,Fifty Years Fund
1796,Andreessen Horowitz,IDG Capital
1797,Andreessen Horowitz,New Enterprise Associates
1798,Andreessen Horowitz,Union Square Ventures
1799,Andreessen Horowitz,Zeev Ventures
1800,Andreessen Horowitz,Bessemer Venture Partners
1801,Andreessen Horowitz,Spark Capital
1802,Andreessen Horowitz,Clocktower Technology Ventures
1803,Andreessen Horowitz,Battery Ventures
1804,Andreessen Horowitz,Sequoia Capital
1805,Andreessen Horowitz,Venrock
1806,Andreessen Horowitz,TriplePoint Capital
1807,Andreessen Horowitz,DST Global
1808,Andreessen Horowitz,F-Prime Capital
1809,Andreessen Horowitz,K9 Ventures
1810,Andreessen Horowitz,Amplify Partners
1811,Andreessen Horowitz,Google Ventures
1812,Andreessen Horowitz,Thrive Capital
1813,Andreessen Horowitz,IA Ventures
1814,Andreessen Horowitz,Thirty Five Ventures
1815,Andreessen Horowitz,Redpoint e.ventures
1816,Andreessen Horowitz,EQT Ventures
1817,Andreessen Horowitz,SoftBank Group
1818,Andreessen Horowitz,Institutional Venture Partners
1819,Andreessen Horowitz,Nor-Cal Invest
1820,NewAlpha,XAnge Private Equity
1821,Bertelsmann India Investments,Sequoia Capital India
1822,SoftBank Latin America Fund,Redpoint e.ventures
1823,Zeev Ventures,Group11
1824,Zeev Ventures,Bessemer Venture Partners
1825,Zeev Ventures,Crosslink Capital
1826,Zeev Ventures,01 Advisors
1827,Zeev Ventures,Group 11
1828,Zeev Ventures,Ribbit Capital
1829,Zeev Ventures,GSV Ventures
1830,Zeev Ventures,Chicago Ventures
1831,Zeev Ventures,TLV Partners
1832,Tokyo Century Corporation,Tokopedia
1833,ION Crossover Partners,PSG
1834,SingulariTeam,BP Ventures
1835,Vista Equity Partners,TDR Capital
1836,Origin Ventures,Fontinalis Partners
1837,SAIF Partners,Accel India
1838,Sina Weibo,Sequoia Capital China
1839,Sina Weibo,Softbank Group
1840,Emergence Capital Partners,March Capital Partners
1841,Emergence Capital Partners,HOF Capital
1842,Emergence Capital Partners,Chicago Ventures
1843,Emergence Capital Partners,8VC
1844,500 Global,Rakuten Ventures
1845,500 Global,Fabric Ventures
1846,500 Global,Standard Crypto
1847,Atop Capital,Qiming Venture Partners
1848,M12,Trinity Ventures
1849,M12,BlackRock
1850,M12,Altos Ventures
1851,M12,TLV Partners
1852,Benhcmark,Accel
1853,Foundry Group,Scale Venture Partners
1854,Foundry Group,Mithril
1855,Foundry Group,BlackRock
1856,Foundry Group,SoftBank Group
1857,Foundry Group,General Atlantic
1858,Mangrove Capital Partners,Max Ventures
1859,Mangrove Capital Partners,14W. ForgeLight
1860,PSG,Providence Equity Partners
1861,ACE & Company,BlackRock
1862,Matrix Partners India,Sequoia Capital India
1863,Matrix Partners India,Falcon Edge Capital
1864,Matrix Partners India,SoftBank Group
1865,Ideal International,Yinhong Equity Investment Fund
1866,Crane Venture Partners,Nexus Venture Partners
1867,American Family Ventures,OMERS Ventures
1868,Collaborative Fund,Khosla Ventures
1869,BDC Venture Capital,Blumberg Capital
1870,ES Ventures,North Bridge Growth Equity
1871,ES Ventures,KKR
1872,Wipro Ventures,Dell Technologies Capital
1873,Brookfield Asset Management,Data Collective
1874,Asset Management Ventures,Battery Ventures
1875,Fabric Ventures,Standard Crypto
1876,Point Nine Capital,Acton Capital Partners
1877,CMC Capital Partners,Sequoia Capital China
1878,Peterson Ventures,Javelin Venture Partners
1879,Peterson Ventures,TTV Capital
1880,Wing Venture Capital,Sequoia Capital
1881,Wing Venture Capital,Next World Capital
1882,Wing Venture Capital,SoftBank Group
1883,Aspect Ventures,SingTel Innov8
1884,InnoVision Capital,Sequoia Capital China
1885,Morgan Creek Digital,Marcy Venture Partners
1886,JOY Capital,Morningside Ventures
1887,JOY Capital,Blueflame Capital
1888,Naspers,Just Eat
1889,Naspers,Movile_
1890,Lerer Hippeau,BOLDstart Ventures
1891,Lerer Hippeau,Greycroft
1892,Lerer Hippeau,SOSV
1893,Lerer Hippeau,Kenetic Capital
1894,Lerer Hippeau,Khosla Ventures
1895,Lerer Hippeau,Munich Re Ventures
1896,Qualcomm Ventures,Qiming Venture Partners
1897,Qualcomm Ventures,Draper Fisher Jurtson
1898,Qualcomm Ventures,LTW Capital
1899,Qualcomm Ventures,Bessemer Venture Partners
1900,Qualcomm Ventures,Woori Investment
1901,Qualcomm Ventures,Hanwha Investment & Securities
1902,Qualcomm Ventures,Alibaba Group
1903,Qualcomm Ventures,Silver Lake
1904,Qualcomm Ventures,Accel
1905,Qualcomm Ventures,Legend Capital
1906,Qualcomm Ventures,China Internet Investment Fund
1907,Ballast Point Ventures,Accel
1908,Ballast Point Ventures,Silverton Partners
1909,China Minsheng Investment,Wanxin Media
1910,Revo Capital,Sequoia Capital
1911,Cedarlake Capital,Unicom Innovation Venture Capital
1912,Future Perfect Ventures,Blockchain Capital
1913,Future Perfect Ventures,AME Cloud Ventures
1914,Redpoint Ventures China,Sequoia Capital China
1915,Redpoint Ventures China,Source Code Capital
1916,Redpoint Ventures China,Delta Capital
1917,March Capital Partners,Temasek
1918,March Capital Partners,HOF Capital
1919,Victory Park Capital,Khosla Ventures
1920,New Enterprise Associates,Goldman Sachs
1921,New Enterprise Associates,Lightbank
1922,New Enterprise Associates,General Atlantic
1923,New Enterprise Associates,Accel
1924,New Enterprise Associates,Accomplice
1925,New Enterprise Associates,T. Rowe Associates
1926,New Enterprise Associates,CRV
1927,New Enterprise Associates,BDT Capital Partners
1928,New Enterprise Associates,Charter Venture Capital
1929,New Enterprise Associates,Javelin Venture Partners
1930,New Enterprise Associates,Tiger Global management
1931,New Enterprise Associates,Battery Ventures
1932,New Enterprise Associates,Sequoia Capital
1933,New Enterprise Associates,Storm Ventures
1934,New Enterprise Associates,Google Ventures
1935,New Enterprise Associates,Cowboy Ventures
1936,New Enterprise Associates,IA Ventures
1937,New Enterprise Associates,Institutional Venture Partners
1938,Lenovo Capital and Incubator,Sequoia Capital China
1939,Fosun RZ Capital,Oceanwide Holdings
1940,Fosun RZ Capital,Shenzhen Qianhe Capital Management Co.
1941,Khosla Ventures,Goldman Sachs
1942,Khosla Ventures,Green Innovations
1943,Khosla Ventures,SOSV
1944,Khosla Ventures,Blumberg Capital
1945,Khosla Ventures,Navitas Capital
1946,Khosla Ventures,Sequoia Capital
1947,Khosla Ventures,AME Cloud Ventures
1948,Khosla Ventures,Geodesic Capital
1949,Khosla Ventures,LowercaseCapital
1950,Khosla Ventures,Thrive Capital
1951,Khosla Ventures,IA Ventures
1952,Khosla Ventures,Munich Re Ventures
1953,Shea Ventures,Global Founders Capital
1954,Shea Ventures,Greycroft
1955,Sequoia Capital India,Bain Capital Tech Opportunities
1956,Sequoia Capital India,Omidyar Network
1957,Sequoia Capital India,Ribbit Capital
1958,Sequoia Capital India,Accel
1959,Sequoia Capital India,Moore Strategic Ventures
1960,Sequoia Capital India,Venture Highway
1961,Sequoia Capital India,Temasek
1962,Sequoia Capital India,PayPal Ventures
1963,Sequoia Capital India,Falcon Edge Capital
1964,Sequoia Capital India,BEENEXT
1965,Sequoia Capital India,Helion Venture Partners
1966,Sequoia Capital India,Nexus Venture Partners
1967,Sequoia Capital India,Go-Ventures
1968,Sequoia Capital India,Lightspeed India Partners
1969,Sequoia Capital India,Sunley House Capital Management
1970,Sequoia Capital India,DST Global
1971,Sequoia Capital India,Endiya Partners
1972,Sequoia Capital India,SoftBank Group
1973,China Life Insurance,China Development Bank Capital
1974,Astral Capital,Summit Partners
1975,Astral Capital,Accel
1976,Nexus Venture Partners,CRV
1977,Nexus Venture Partners,Times Internet
1978,Nexus Venture Partners,Sequoia Capital
1979,Nexus Venture Partners,Accel
1980,Nexus Venture Partners,SoftBank Group
1981,Nexus Venture Partners,Dell Technologies Capital
1982,Shanghai Electric Group,Sequoia Capital China
1983,Fidelity Investment,Lockheed Martin Ventures
1984,Sequoia Capital,Eniac Ventures
1985,Sequoia Capital,Bezos Expeditions
1986,Sequoia Capital,Caffeinated Capital
1987,Sequoia Capital,Pantera Capital
1988,Sequoia Capital,Paradigm
1989,Sequoia Capital,Bain Capital Tech Opportunities
1990,Sequoia Capital,enaya Capital
1991,Sequoia Capital,Accel
1992,Sequoia Capital,Bling Capital
1993,Sequoia Capital,Google Capital
1994,Sequoia Capital,Benchmark
1995,Sequoia Capital,Thoma Bravo
1996,Sequoia Capital,Bessemer Venture Partners
1997,Sequoia Capital,First Round Capital
1998,Sequoia Capital,next47
1999,Sequoia Capital,Institutional Venture Partners
2000,Sequoia Capital,Sozo Ventures
2001,Sequoia Capital,DST Global
2002,Sequoia Capital,F-Prime Capital
2003,Sequoia Capital,Threshold Ventures
2004,Sequoia Capital,Amplify Partners
2005,Sequoia Capital,Google Ventures
2006,Sequoia Capital,Thrive Capital
2007,Sequoia Capital,Bain Capital Ventures
2008,Sequoia Capital,Redpoint e.ventures
2009,Sequoia Capital,Wakefield Group
2010,Sequoia Capital,SoftBank Group
2011,Sequoia Capital,General Atlantic
2012,Bertelsmann Asia Investments,Sequoia Capital China
2013,Left Lane Capital,Walden Venture Capital
2014,Left Lane Capital,Clocktower Technology Ventures
2015,Left Lane Capital,DST Global
2016,Guggenheim Investments,Temasek
2017,Sequoia Capital China,Qiming Venture Partners
2018,Sequoia Capital China,Goldman Sachs
2019,Sequoia Capital China,Russia-China Investment Fund
2020,Sequoia Capital China,Bank of China
2021,Sequoia Capital China,Hundreds Capital
2022,Sequoia Capital China,Longfor Capitalm
2023,Sequoia Capital China,Blackbird Ventures
2024,Sequoia Capital China,Genesis Capital
2025,Sequoia Capital China,Hearst Ventures
2026,Sequoia Capital China,Linear Venture
2027,Sequoia Capital China,Gaorong Capital
2028,Sequoia Capital China,Legend Capital
2029,Sequoia Capital China,IDG Capital
2030,Sequoia Capital China,Merrysunny Wealth
2031,Sequoia Capital China,CDH Investments
2032,Sequoia Capital China,ZhenFund
2033,Sequoia Capital China,K2 Ventures
2034,Sequoia Capital China,Source Code Capital
2035,Sequoia Capital China,KKR
2036,Sequoia Capital China,DST Global
2037,Sequoia Capital China,Sinovation Ventures
2038,Sequoia Capital China,58.com
2039,Sequoia Capital China,Softbank Group
2040,Sequoia Capital China,China International Capital Corporation
2041,Sequoia Capital China,China Construction Bank
2042,Sequoia Capital China,5Y Capital
2043,Costanoa Ventures,Altos Ventures
2044,Costanoa Ventures,Union Square Ventures
2045,Costanoa Ventures,Salesforce Ventures
2046,Costanoa Ventures,Data Collective
2047,Sequoia Capital Israel,Commerce Ventures
2048,Sequoia Capital Israel,Scale Venture Partners
