,Company,Degree Centrality,Betweenness Centrality,Eigen Centrality,Closeness Centrality,Page Rank,Valuation ($B) ,Date Added,Country,Category,Select Investors,Valuation($B) flaot,DateTime Joined
144,Voodoo,0.04204204204204204,0.0036560964116139046,0.006585073973622251,0.3399807574564856,0.001430141660990001,$2.31 ,2020/8/17,France,Other,"['Tencent Holdings', ' Goldman Sachs']",2.31,2020-08-17
145,CoinSwitch Kuber,0.07207207207207207,0.0033597057912962505,0.057475388705033804,0.37426320372417027,0.0021905405228047066,$1.90 ,2021/10/6,India,Fintech,"['Tiger Global Management', ' Sequoia Capital India', ' Ribbit Capital']",1.9,2021-10-06
146,Instacart,0.037037037037037035,0.001203203996013523,0.009474125040376405,0.3480615446907582,0.0011993482382124314,$39.00 ,2014/12/30,United States,"Supply chain, logistics, & delivery","['Khosla Ventures', ' Kleiner Perkins Caufield & Byers', ' Collaborative Fund']",39.0,2014-12-30
147,Lydia,0.02702702702702703,3.389882623779414e-06,0.004356295218749981,0.3100132465028539,0.0009181616391905265,$1.00 ,2021/12/8,France,Fintech,"['NewAlpha', ' XAnge Private Equity', ' Tencent Holdings']",1.0,2021-12-08
148,Kopi Kenangan,0.029029029029029027,0.004768748050901446,0.011811570668611361,0.3239800540685496,0.001178767902099528,$1.00 ,2021/12/27,Indonesia,Consumer & retail,"['Horizons Ventures', ' Sequoia Capital India', ' Alpha JWC Ventures']",1.0,2021-12-27
149,Grafana Labs,0.04904904904904905,0.0024953171099014126,0.013222652899246286,0.3754845754845754,0.0015275100129815403,$3.00 ,2021/8/24,United States,Internet software & services,"['Lightspeed Venture Partners', ' Lead Edge Capital', ' Coatue Management']",3.0,2021-08-24
150,Carzone,0.009009009009009009,3.212009973476829e-06,0.0001925536237652659,0.2540739477647995,0.0007584136745140851,$1.52 ,2019/3/1,China,E-commerce & direct-to-consumer,"['Alibaba Group', 'Co-Stone Venture Capital', ' Buhuo Venture Capital']",1.52,2019-03-01
151,Nextiva,0.002002002002002002,0.0,3.0442016043383968e-06,0.19832908505649208,0.00047774494477782173,$2.70 ,2021/9/14,United States,Internet software & services,['Goldman Sachs Asset Management'],2.7,2021-09-14
152,Rippling,0.04104104104104104,0.0017301959033256995,0.02367036099098467,0.35780293843376915,0.0012862798460281505,$6.50 ,2020/8/4,United States,Internet software & services,"['Initialized Capital', ' Y Combinator', ' Kleiner Perkins Caufield & Byers']",6.5,2020-08-04
153,Grammarly,0.04004004004004004,0.0008862560654245878,0.019610245219844977,0.3568517564973037,0.0012284621276211283,$13.00 ,2019/10/10,United States,Internet software & services,"['General Catalyst', ' Institutional Venture Partners', ' Breyer Capital']",13.0,2019-10-10
154,Aledade,0.009009009009009009,0.0017976290535076987,0.0017567419701266427,0.2963261274519553,0.000601187245763633,$1.90 ,2021/1/19,United States,Health,"['Venrock', ' CVF Capital Partners', ' ARCH Venture Partners']",1.9,2021-01-19
155,Reltio,0.006006006006006006,6.740836568738965e-05,0.0004436530861175035,0.2769650668550256,0.00041784423560827145,$1.70 ,2021/11/4,United States,Data management & analytics,"['Crosslink Capital', ' .406 Ventures', ' Sapphire Ventures']",1.7,2021-11-04
156,Jusfoun Big Data,0.02102102102102102,2.260808033901343e-06,0.002309957486024128,0.3060085161148991,0.0008058320036489642,$1.62 ,2018/7/9,China,Data management & analytics,"['Boxin Capital', ' DT Capital Partners', ' IDG Capital']",1.62,2018-07-09
157,Interos,0.02702702702702703,0.0010296567131520065,0.00688868340398657,0.34055577776508006,0.0009725041756779393,$1.00 ,2021/7/22,United States,Fintech,"['Kleiner Perkins Caufield & Byers', ' NightDragon Security', ' Venrock']",1.0,2021-07-22
158,We Doctor,0.006006006006006006,0.0,0.001114770131738713,0.28082789902873584,0.00041949723241360687,$7.00 ,2015/9/22,China,Health,"['Tencent', ' Morningside Group']",7.0,2015-09-22
159,MoMo,0.017017017017017015,0.0024382185164867148,0.0033293155842535464,0.3184714964074395,0.000884535470473705,$2.27 ,2021/12/10,Vietnam,Fintech,"['Goodwater Capital', ' Warburg Pincus', ' GS Growth']",2.27,2021-12-10
160,Graphcore,0.009009009009009009,0.000741639097595446,0.0007266058812556742,0.2909734156121439,0.0005969846812197682,$2.77 ,2018/12/18,United Kingdom,Artificial intelligence,"['Dell Technologies Capital', ' Pitango Venture Capital', ' Amadeus Capital Partners']",2.77,2018-12-18
161,Ankorstore,0.014014014014014014,0.0005704985316916752,0.002839735080246908,0.29786036036036034,0.0009251928520683118,$2.26 ,2022/1/10,France,E-commerce & direct-to-consumer,"['Global Founders Capital', ' Aglae Ventures', ' Alven Capital']",2.26,2022-01-10
162,Turing,0.009009009009009009,0.00011511673903890855,0.0035379341019747615,0.3029012464890614,0.0004658937794988369,$1.10 ,2021/12/20,United States,Internet software & services,"['Foundation Capital', ' Frontier Ventures', ' AltaIR Capital']",1.1,2021-12-20
163,Otto Bock HealthCare,0.001001001001001001,0.0,1.1522929309507003e-05,0.20588303026953333,0.00023732591021012118,$3.52 ,2017/6/24,Germany,Health,['EQT Partners'],3.52,2017-06-24
164,Yello Mobile,0.002002002002002002,0.0,8.775165422052043e-05,0.2369562854999748,0.0002750860560590543,$4.00 ,2014/11/11,South Korea,Mobile & telecommunications,['Formation 8'],4.0,2014-11-11
165,Five Star Business Finance,0.07207207207207207,0.0060379296725624285,0.05628702900964472,0.37201589580342465,0.0022252989557440396,$1.40 ,2021/3/26,India,Other,"['Sequoia Capital India', ' Tiger Global Management', ' Tencent']",1.4,2021-03-26
166,MoonPay,0.08608608608608609,0.010165573661664264,0.056931942351200325,0.40290866153797616,0.002400162388474999,$3.40 ,2021/11/22,United States,Fintech,"['New Enterprise Associates', ' Coatue Management', ' Tiger Global Management']",3.4,2021-11-22
167,BrowserStack,0.09309309309309309,0.0030318046847697885,0.12328474631967395,0.38908908908908907,0.0023817272582787865,$4.00 ,2021/6/16,Ireland,Internet software & services,"['Accel', ' Insight Partners', ' Bond Capital']",4.0,2021-06-16
168,HeartFlow,0.0,0.0,1.2111361960257657e-63,0.0,0.0001624255549540131,$1.30 ,2017/12/4,United States,Health,"['BlueCross BlueShield Venture Partners', ' US Venture Partners']",1.3,2017-12-04
169,HoneyBook,0.016016016016016016,0.00023131122105013408,0.008516098650240085,0.3131471284659465,0.0006618006124057194,$1.10 ,2021/5/4,United States,Internet software & services,"['Norwest Venture Partners', ' Hillsven Capital', ' Aleph']",1.1,2021-05-04
170,Apus Group,0.01001001001001001,0.0002634236311884811,0.001434514208428752,0.30199265632336497,0.0005085218370874901,$1.73 ,2015/1/16,China,Mobile & telecommunications,"['Redpoint Ventures', ' QiMing Venture Partners', ' Chengwei Capital']",1.73,2015-01-16
171,Solo.io,0.012012012012012012,7.324139327889763e-05,0.0017909414962132423,0.30312924893278675,0.0005444544913244878,$1.00 ,2021/10/7,United States,Internet software & services,"['True Ventures', ' Altimeter Capital', ' Redpoint Ventures']",1.0,2021-10-07
172,Cameo,0.04704704704704705,0.001506757859777773,0.012055039358246424,0.3667643052888955,0.0015390638483462756,$1.00 ,2021/3/30,United States,Internet software & services,"['Lightspeed Venture Partners', ' Kleiner Perkins Caufield & Byers', ' Origin Ventures']",1.0,2021-03-30
173,TravelPerk,0.005005005005005005,0.00013052401680418882,0.00016796044951653436,0.2446580845730299,0.0005184801523888804,$1.30 ,2022/1/12,Spain,Travel,"['LocalGlobe', ' Kinnevik', ' Felix Capital']",1.3,2022-01-12
174,Figment,0.004004004004004004,8.330571389407892e-05,3.559437989152384e-05,0.2201187249014524,0.000521240889362387,$1.40 ,2021/12/20,Canada,Internet software & services,"['Bonfire Ventures', ' Two Sigma Ventures', ' FJ Labs']",1.4,2021-12-20
175,InSightec,0.001001001001001001,0.0,2.204241683513614e-05,0.22579602310468583,0.00021246065061360228,$1.30 ,2020/3/6,Israel,Health,"['York Capital Management', ' GE Healthcare', ' Koch Disruptive Technologies']",1.3,2020-03-06
176,Cars24,0.044044044044044044,0.001860622866308,0.01835731061583788,0.35956000643500646,0.0013996680417541142,$3.30 ,2020/11/24,India,E-commerce & direct-to-consumer,"['Moore Strategic Ventures', ' DST Global', ' Sequoia Capital India']",3.3,2020-11-24
177,Automattic,0.005005005005005005,4.9215735441719143e-05,0.0010172724817199934,0.27965778278278275,0.0003411339719729199,$1.80 ,2013/5/27,United States,Internet software & services,"['Insight Venture Partners', ' Lowercase Capital', ' Polaris Partners']",1.8,2013-05-27
178,Heyday,0.04704704704704705,0.0009313493524427141,0.016405964819613646,0.35449578099225987,0.0014839435231096664,$1.00 ,2021/11/16,United States,E-commerce & direct-to-consumer,"['Khosla Ventures', 'General Catalyst', ' Victory Park Capital']",1.0,2021-11-16
179,Liquid,0.02102102102102102,2.260808033901343e-06,0.002309957486024128,0.3060085161148991,0.0008058320036489642,$1.00 ,2019/4/3,Japan,Fintech,"['JAFCO Co', ' Bitmain Technologies', ' IDG Capital']",1.0,2019-04-03
